"Priority","Cluster","Funnel","Primary Keyword","Supporting Keywords","Search Intent","Owned URL","Page Type","Status","Canonical Title","Primary CTA","Required Internal Links","Avoid Overlap With","Notes"
"P1","Habitat and small spaces","Informational","safe room setup for a new cat","new cat safe room; first room for new cat; bringing cat home setup","Prepare a calm first room and transition plan","https://splintercatgear.com/guides/new-cat-safe-room/","Support guide","Planned","New Cat Safe Room Setup: A Practical First-Week Plan | Splintercat","Use the safe-room checklist","/guides/indoor-cat-setup/; /guides/food-water-station/; /guides/litter-box-placement/","/guides/indoor-cat-setup/","Cover setup and observation; behavioural or medical concerns need professional guidance."
"P1","Habitat and small spaces","Informational","renter-friendly catification","catification for renters; no-drill cat shelves; rental apartment cat setup","Add vertical space without permanent structural changes","https://splintercatgear.com/guides/renter-friendly-catification/","Support guide","Planned","Renter-Friendly Catification: No-Drill Small-Space Ideas | Splintercat","Measure the room before choosing equipment","/guides/small-apartment-cat-setup/; /guides/indoor-cat-enrichment/; /gear/cat-trees-small-spaces/","/guides/small-apartment-cat-setup/","Do not imply a mounting method is safe without manufacturer and surface requirements."
"P1","Habitat and small spaces","Commercial investigation","best cat tree for small apartment","compact cat tree; narrow cat tree; small-space cat tree","Compare footprint, usable platforms, stability, anchoring, and individual-cat fit","https://splintercatgear.com/gear/cat-trees-small-spaces/","Category research shortlist","Published","Small-Space Cat Trees: Research Picks | Splintercat","Open a product evidence record","/guides/small-apartment-cat-setup/; /guides/indoor-cat-enrichment/; /methodology/; both product records","Future broad cat-tree buying guide","The page targets best-fit intent through a transparent two-format shortlist, not a universal ranking."
"P1","Habitat and small spaces","Informational","cat window perch safety","is a window perch safe for cats; suction cup cat perch safety; window cat shelf","Check fit, installation, limits, heat, and escape risks","https://splintercatgear.com/guides/cat-window-perch-safety/","Support guide","Planned","Cat Window Perch Safety: Fit, Installation & Daily Checks | Splintercat","Run the installation checklist","/guides/indoor-cat-enrichment/; /guides/small-apartment-cat-setup/; /gear/#climb-scratch","Planned renter-friendly catification page","Use current manufacturer instructions and avoid universal load claims."
"P2","Habitat and small spaces","Informational","multi-cat apartment setup","small apartment with two cats; multi-cat resource setup; cat resources in small home","Distribute resources to reduce blocking and competition","https://splintercatgear.com/guides/multi-cat-apartment-setup/","Support guide","Planned","Multi-Cat Apartment Setup: Separate Resources in Less Space | Splintercat","Map each cat's access routes","/guides/small-apartment-cat-setup/; /guides/food-water-station/; /guides/how-many-litter-boxes/","/guides/small-apartment-cat-setup/","Use intercat-tension guidelines and avoid diagnosing conflict."
"P2","Habitat and small spaces","Informational","senior cat home setup","home setup for older cat; senior cat accessibility; low-entry cat setup","Reduce access barriers for an older or mobility-limited cat","https://splintercatgear.com/guides/senior-cat-home-setup/","Support guide","Planned","Senior Cat Home Setup: Easier Access to Everyday Resources | Splintercat","Audit routes and discuss changes with a veterinarian","/guides/indoor-cat-setup/; /guides/litter-box-size-guide/; /guides/food-water-station/","General indoor-cat setup pillar","Requires veterinary-source review and clear medical limitations."
"P1","Litter","Informational","cat litter box size guide","how big should a cat litter box be; litter box dimensions; large litter box for cat","Measure usable interior space and entry access","https://splintercatgear.com/guides/litter-box-size-guide/","Support guide","Planned","Cat Litter Box Size Guide: Measure the Usable Space | Splintercat","Measure the cat and available location","/guides/litter-box-placement/; /guides/small-apartment-cat-setup/; /gear/#litter-cleanup","Future litter-box buying guide","Keep recommendations source-grounded and distinguish interior from exterior dimensions."
"P1","Litter","Informational","how many litter boxes for multiple cats","litter boxes for two cats; one litter box per cat; multi-cat litter setup","Plan box count and distribution without creating blocked access","https://splintercatgear.com/guides/how-many-litter-boxes/","Support guide","Planned","How Many Litter Boxes Do Multiple Cats Need? | Splintercat","Map separate accessible locations","/guides/litter-box-placement/; /guides/multi-cat-apartment-setup/; /guides/litter-box-size-guide/","Litter-box placement page","Explain guideline context and household constraints; do not treat a rule of thumb as diagnosis."
"P1","Litter","Informational","how to reduce litter tracking in an apartment","cat litter tracking solutions; litter mat placement; keep litter off floor","Reduce tracking through box, exit, mat, and cleaning choices","https://splintercatgear.com/guides/reduce-litter-tracking-apartment/","Support guide","Planned","How to Reduce Cat Litter Tracking in an Apartment | Splintercat","Audit the exit path before buying accessories","/guides/litter-box-placement/; /guides/litter-box-size-guide/; /gear/#litter-cleanup","Future litter-mat comparison","Avoid unsupported claims about litter types and respiratory safety."
"P2","Litter","Commercial investigation","self-cleaning litter box buying guide","automatic litter box comparison; self-cleaning litter box maintenance; automatic litter box total cost","Compare fit, safety instructions, consumables, noise, and maintenance","https://splintercatgear.com/guides/self-cleaning-litter-box-buying-guide/","Category buying guide","Planned","Self-Cleaning Litter Box Buying Guide: Fit, Safety & Cost | Splintercat","Calculate total cost and review candidates","/guides/litter-box-size-guide/; /guides/litter-box-placement/; /methodology/","/gear/#litter-cleanup","Requires current model/manual research; do not call products tested before hands-on records exist."
"P1","Feeding and hydration","Informational","how to clean a cat water fountain","cat fountain cleaning schedule; clean stainless steel cat fountain; cat fountain pump cleaning","Disassemble and maintain a fountain using its manual","https://splintercatgear.com/guides/cat-water-fountain-cleaning/","Support guide","Planned","How to Clean a Cat Water Fountain: Parts, Pump & Schedule | Splintercat","Use a model-specific maintenance log","/guides/food-water-station/; /guides/cat-fountain-filter-cost/; /gear/#feed-water","Future fountain buying guide","Instructions vary by model; defer to the manual and veterinarian for health concerns."
"P1","Feeding and hydration","Commercial investigation","cat fountain filter replacement cost","cat fountain annual cost; cat water fountain filters; fountain replacement parts","Estimate ongoing filter, pump, and cleaning costs","https://splintercatgear.com/guides/cat-fountain-filter-cost/","Cost guide","Planned","Cat Fountain Filter Cost: Calculate the First-Year Total | Splintercat","Use the total-cost worksheet","/guides/cat-water-fountain-cleaning/; /guides/food-water-station/; /gear/#feed-water","Future fountain buying guide","Date all price observations and do not publish a static Amazon price as evergreen fact."
"P1","Feeding and hydration","Commercial investigation","automatic feeder for two cats","two-cat automatic feeder; automatic feeder multi-cat household; separate feeders for cats","Compare access control, portion delivery, power loss, and cleaning","https://splintercatgear.com/guides/automatic-feeder-two-cats/","Category buying guide","Planned","Automatic Feeders for Two Cats: Access, Portions & Backup Power | Splintercat","Use the household-fit checklist","/guides/food-water-station/; /guides/multi-cat-apartment-setup/; /methodology/","Future broad automatic-feeder guide","Avoid nutrition advice; feeding plans belong with a veterinarian."
"P2","Feeding and hydration","Informational","how to feed multiple cats separately","separate feeding stations for cats; stop one cat eating another cat food; multi-cat feeding setup","Create protected access and observe competition","https://splintercatgear.com/guides/feed-multiple-cats-separately/","Support guide","Planned","How to Feed Multiple Cats Separately: A Room-by-Room Setup | Splintercat","Map feeding access and discuss diet with a veterinarian","/guides/food-water-station/; /guides/multi-cat-apartment-setup/; /guides/automatic-feeder-two-cats/","Food-and-water station pillar","Keep weight, diet, and medical recommendations outside scope."
"P2","Feeding and hydration","Commercial investigation","wide shallow cat bowls","cat bowl shape; shallow cat food dish; choose a cat bowl","Compare access, stability, material, and cleaning","https://splintercatgear.com/guides/wide-shallow-cat-bowls/","Category buying guide","Planned","Wide, Shallow Cat Bowls: What to Measure Before Buying | Splintercat","Measure eating posture and cleaning fit","/guides/food-water-station/; /methodology/; /gear/#feed-water","Food-and-water station pillar","Do not state that whisker fatigue is a settled medical diagnosis."
"P1","Play and scratching","Informational","vertical vs horizontal cat scratcher","cat scratcher types; cardboard vs sisal scratcher; which scratcher does my cat need","Match orientation, surface, stability, and observed preference","https://splintercatgear.com/guides/cat-scratcher-types/","Support guide","Planned","Cat Scratcher Types: Vertical, Horizontal, Cardboard & Sisal | Splintercat","Observe preference then choose placement","/guides/scratching-post-placement/; /guides/indoor-cat-enrichment/; /gear/scratching-posts/","/gear/scratching-posts/","Owns type education; the product shortlist owns commercial comparison."
"P1","Play and scratching","Informational","cat toy rotation schedule","how often to rotate cat toys; indoor cat play routine; keep cat toys interesting","Create a practical weekly rotation without overbuying","https://splintercatgear.com/guides/cat-toy-rotation/","Support guide","Planned","Cat Toy Rotation: A Simple Weekly Enrichment Schedule | Splintercat","Use the weekly rotation template","/guides/indoor-cat-enrichment/; /gear/cat-toys/; /guides/cat-window-perch-safety/","Indoor enrichment pillar","Emphasize supervision and individual preference."
"P1","Play and scratching","Commercial investigation","best cat toys for indoor cats","interactive cat toys; cat puzzle toys; wand toys for cats; track toys for cats","Compare four play jobs, supervision needs, storage, and maintenance","https://splintercatgear.com/gear/cat-toys/","Category research shortlist","Published","Cat Toys by Play Style: Research Picks | Splintercat","Open a product evidence record","/guides/indoor-cat-enrichment/; /methodology/; all four product records","Indoor enrichment guide and future toy-rotation guide","The page targets best-fit intent by play style without a hands-on or universal winner claim."
"P2","Play and scratching","Informational","cat active at night apartment","indoor cat nighttime activity; cat zoomies at night; quiet cat enrichment apartment","Adjust daytime routine and quiet nighttime options","https://splintercatgear.com/guides/cat-active-at-night-apartment/","Support guide","Planned","Cat Active at Night? Apartment-Friendly Enrichment Ideas | Splintercat","Audit the daily routine and seek veterinary help for sudden change","/guides/indoor-cat-enrichment/; /guides/cat-toy-rotation/; /guides/food-water-station/","Indoor enrichment pillar","Avoid sleep or behavioural treatment claims."
"P2","Play and scratching","Commercial investigation","quiet cat exercise wheel","cat wheel for apartment; quiet cat wheel; cat exercise wheel size","Compare running diameter, footprint, stability, noise, and acclimation","https://splintercatgear.com/guides/quiet-cat-exercise-wheel/","Category buying guide","Planned","Quiet Cat Exercise Wheels for Apartments: Size & Noise Checks | Splintercat","Measure the room and review the category method","/guides/indoor-cat-enrichment/; /guides/small-apartment-cat-setup/; /methodology/","General enrichment page","Do not publish decibel or safety conclusions without a defined test."
"P1","Travel and care","Informational","cat carrier size guide","what size cat carrier; measure cat for carrier; cat carrier dimensions","Choose usable interior dimensions and appropriate access","https://splintercatgear.com/guides/cat-carrier-size-guide/","Support guide","Planned","Cat Carrier Size Guide: How to Measure Before You Buy | Splintercat","Measure the cat and compare manual limits","/guides/cat-carrier-training/; /gear/#travel-care; /methodology/","Future carrier buying guide","Airline and vehicle requirements need current source checks and separate context."
"P1","Travel and care","Informational","how to get a cat used to a carrier","cat carrier training; leave cat carrier out; cat carrier acclimation","Build gradual positive familiarity with the carrier","https://splintercatgear.com/guides/cat-carrier-training/","Support guide","Planned","How to Get a Cat Used to a Carrier: A Gradual Setup | Splintercat","Follow a gradual acclimation plan","/guides/cat-carrier-size-guide/; /guides/indoor-cat-enrichment/; /gear/#travel-care","Future carrier buying guide","No medication or anxiety-treatment advice; refer individual concerns to a veterinarian."
"P2","Travel and care","Informational","car travel with a cat checklist","cat road trip checklist; cat carrier in car; travel with indoor cat","Prepare carrier placement, identification, stops, and supplies","https://splintercatgear.com/guides/car-travel-with-cat/","Support guide","Planned","Car Travel With a Cat: A Practical Preparation Checklist | Splintercat","Use the pre-trip checklist and confirm veterinary advice","/guides/cat-carrier-size-guide/; /guides/cat-carrier-training/; /guides/cat-emergency-kit/","Carrier training page","Requirements and restraint guidance must use current primary sources."
"P2","Travel and care","Informational","cat emergency kit checklist","emergency supplies for cats; apartment fire cat kit; evacuation kit for cat","Prepare a dated, portable household emergency kit","https://splintercatgear.com/guides/cat-emergency-kit/","Support guide","Planned","Cat Emergency Kit Checklist for Apartment Households | Splintercat","Build and schedule kit reviews","/guides/cat-carrier-size-guide/; /guides/car-travel-with-cat/; /gear/#travel-care","General indoor-cat setup pillar","Use current government, emergency-management, and veterinary sources; date jurisdictional details."
"P2","Marketplace","Commercial investigation","cat tree buying guide","how to choose a cat tree; stable cat tree; cat tree dimensions","Compare usable dimensions, base, anchoring, cleaning, and household fit","https://splintercatgear.com/guides/cat-tree-buying-guide/","Category buying guide","Backlog","Cat Tree Buying Guide: Stability, Size & Usable Platforms | Splintercat","Compare measured candidates","/gear/cat-trees-small-spaces/; /guides/scratching-post-placement/; /methodology/","Small-apartment cat-tree shortlist","Publish after a broader category method and comparison set exist."
"P2","Marketplace","Commercial investigation","cat water fountain buying guide","how to choose cat fountain; stainless steel cat fountain; quiet cat fountain","Compare cleaning, capacity, parts, power, and total cost","https://splintercatgear.com/guides/cat-water-fountain-buying-guide/","Category buying guide","Backlog","Cat Water Fountain Buying Guide: Cleaning, Parts & Cost | Splintercat","Compare verified candidates","/guides/food-water-station/; /guides/cat-water-fountain-cleaning/; /guides/cat-fountain-filter-cost/","Marketplace watch feed-and-water section","Publish after current manuals and a category method are available."
"P2","Marketplace","Commercial investigation","cat litter box buying guide","how to choose litter box; open vs covered litter box; large cat litter box","Compare usable interior space, entry, cleaning, and household fit","https://splintercatgear.com/guides/cat-litter-box-buying-guide/","Category buying guide","Backlog","Cat Litter Box Buying Guide: Size, Entry & Cleaning | Splintercat","Compare verified candidates","/guides/litter-box-size-guide/; /guides/litter-box-placement/; /methodology/","Self-cleaning litter-box buying guide","Keep automatic systems as a narrower decision."
"P1","Marketplace","Commercial investigation","best cat scratching posts","cat scratching post buying guide; stable cat scratching post; tall cat scratching post; horizontal cat scratcher","Compare usable height, base, orientation, surface, and replacement value","https://splintercatgear.com/gear/scratching-posts/","Category research shortlist","Published","Cat Scratching Posts by Type: Research Picks | Splintercat","Open a product evidence record","/guides/cat-scratcher-types/; /guides/scratching-post-placement/; /methodology/; all three product records","Placement and scratcher-type guides","The page targets best-fit intent by orientation and use case without a hands-on universal ranking."
"P2","North America","Commercial investigation","cat products available in Canada","cat gear Canada vs US; Amazon cat products Canada; cat supply availability Canada","Understand retailer and replacement-part availability across the border","https://splintercatgear.com/guides/cat-gear-canada-us-availability/","Market guide","Backlog","Cat Gear in Canada vs. the US: Availability Checks That Matter | Splintercat","Check current local parts and retailer terms","/gear/; /affiliate-disclosure/; relevant category guides","Country-duplicated product pages","Date every availability observation; do not publish near-duplicate country pages."
